OldWord,OldStem,NewWord,NewStem
Galīlaea,\bGalīlae,Galilaea,Galilae
Hēlīās,\bHēlīās,Ēlīās,Ēlīās
Hēlīas,\bHēlīas,Ēlīās,Ēlīās
Israel,\bIsrael,Isrāhel,Isrāhel
Isrāēl,\bIsrāēl,Isrāhel,Isrāhel
Michael,Michael,Michāhel,Michāhel
Moses,\bMos,Mōses,Mōs
Sion,\bSion,Sīon,Sīon
Siōn,\bSiōn,Sīon,Sīon
Sīōn,\bSīōn,Sīon,Sīon
