OldWord,OldStem,NewWord,NewStem
alicui,\balicui\b,alicuj,alicuj
alicuius,\balicuius\b,alicujus,alicujus
cui,\bcui\b,cuj,cuj
cuius,\bcuius\b,cujus,cujus
eccui,\beccui\b,eccuj,eccuj
eccuius,\beccuius\b,eccujus,eccujus
hui,\bhui\b,huj,huj
huic,\bhuic\b,hujc,hujc
huius,\bhuius\b,hujus,hujus
